Label,Frequency,Proportion
N,81985,0.2282210809080407
B,14530,0.04044706111598258
E,29495,0.08210502874163152
A,44030,0.12256600832324245
F#m,7061,0.019655657160354643
D,25994,0.07235931910866146
Bm,6163,0.01715590073350314
A7,3987,0.011098584492045597
C#m,6690,0.018622907010731136
G,27736,0.0772085125335783
C,27979,0.07788494996311607
F,8449,0.02351942321878436
Dm,17402,0.048441827772906315
G7,6077,0.016916503124695535
Am,8705,0.024232048658955837
Fm,3481,0.009690035770456665
G#m,2129,0.00592648266455106
D7,12598,0.03506896599718847
C7,1771,0.004929920525561262
Em,5934,0.01651843500772475
E7,3139,0.008738012721477584
F#,5408,0.01505421242362242
D#m,210,0.0005845755563906635
Cm,8282,0.0230545464667975
